Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
71,"13.5529488, 78.5086376","15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,0,0,0,"# 15-37, Burma St, C.T.M. Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
72,"13.217176, 79.1003289",",C.T.M.Road.",Leo Hospital,0,0,0,",,C.T.M.Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
73,"13.5657237, 78.5066868","C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,0,0,0,C.T.M Road(Opp State Bank Of India) Madanapalle,Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
74,"13.553374, 78.5065719","C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,0,0,0,"C.T.M Road, Madanapalle",Andhra Pradesh,Chittoor,0,517325,08571  223565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
75,"30.3145962, 78.0357476","Gandhi Road,Gandhi Road.",Popular Nursing Home,0,0,0,"Gandhi Road,,Gandhi Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
76,"13.5603491, 78.5036065","Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,0,0,0,"Iv-5-3, Marpoori Colony, Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
77,"13.553374, 78.5065719","Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,0,0,0,"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
78,,"(A Unit Of Lvpei,), Bangalore Road, Madanpalle,",Siloam Eye Centre,0,0,0,"(A Unit Of Lvpei ), Bangalore Road, Madanpalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
79,,"14-26, Old Andhra Bank Building,C.T.M.Road.",Siloam Orthopaedic and Trauma Centre,0,0,0,"# 14-26, Old Andhra Bank Building,,C.T.M.Road",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
80,"14.6818877, 77.6005911","Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,0,0,0,"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
81,"13.5603491, 78.5036065","Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,0,0,0,"Ganesh Hotel Compound , Near .R.T.C Bus Stand,Madanapalle",Andhra Pradesh,Chittoor,0,517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
82,"13.5603491, 78.5036065","D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,0,0,0,"D No 11-70, Patel Road Madanapalli",Andhra Pradesh,Chittoor,0,517325,08571    221646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
83,,"Borugulabatti, Thasildhar Street Newpet",Saraswathi Maternity Nursing Home,0,0,0,"Borugulabatti, Thasildhar Street Newpet",Andhra Pradesh,Chittoor,0,517408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
84,"12.7279579, 78.3512397","Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,0,0,0,Kuppam Palmaner Road,Andhra Pradesh,Chittoor,0,517425,"08570  256666, 256655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
85,"12.7510218, 78.340196","Palace Road, Kuppam",Rathna Childrens and General Hospital,0,0,0,"Palace Road, Kuppam",Andhra Pradesh,Chittoor,0,517425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
86,"12.7470314, 78.3330157","A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,0,0,0,"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam",Andhra Pradesh,Chittoor,0,517425,08570    255136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
87,"13.6403071, 79.4176391","D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,0,0,0,"D.No :10-15-189/I2, K.K. Layout, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
88,,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Apollo Rural Hospitals,0,0,0,"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Andhra Pradesh,Chittoor,0,517501,"283220, 283221",0,0,0,0,0,0,0,283223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
89,"13.6320156, 79.4260025","10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,0,0,0,"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
90,"13.217176, 79.1003289",Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,0,0,0,Tirupti (B.I.R.R.D),Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
91,"13.6344095, 79.425573","413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,0,0,0,"#413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati",Andhra Pradesh,Chittoor,0,517501,0877    2222700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
92,"13.6338436, 79.4210045","No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,0,0,0,"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
93,"13.6338782, 79.4195997","398A, Doddapuram Street, Tirupati",Clinic Nisha,0,0,0,"398A, Doddapuram Street, Tirupati",Andhra Pradesh,Chittoor,0,517501,2228761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
94,"13.6244611, 79.4310052","18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,0,0,0,"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road",Andhra Pradesh,Chittoor,0,517501,"0877    6667999, 6561981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
95,"13.6287557, 79.4191795",Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,0,0,0,Nehru Nagar Behind Jyothi Talkies Tirupati,Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
96,,"10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Gayatri Hospital Tirupati,0,0,0,"# 10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Andhra Pradesh,Chittoor,0,517501,2253714,0,0,0,0,0,0,0,05877  6640410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
97,"13.6361446, 79.4204532","10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,0,0,0,"10-13-568,,Reddy and Reddy Colony",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
98,,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Lotus Emergency Hosptial,0,0,0,"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Andhra Pradesh,Chittoor,0,517501,0877  2252962,0,0,0,0,0,0,0,8772286077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
99,"13.6781837, 79.352188","D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,0,0,0,"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",Andhra Pradesh,Chittoor,0,517501,0877  228 2459,0,0,0,0,0,0,0,228 2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
100,"13.6287557, 79.4191795","138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,0,0,0,"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
101,,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",M/S Sapthagiri Eye Care Centre,0,0,0,"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",Andhra Pradesh,Chittoor,0,517501,2280488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
102,"13.6302513, 79.4118237","548, R.R. Colony,Tirupati-",Manohari Nursing Home,0,0,0,"548, R.R. Colony,Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
103,"13.6287557, 79.4191795","538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,0,0,0,"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
104,,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Mother Hospital,0,0,0,"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Andhra Pradesh,Chittoor,0,517501,0877    2286112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
105,"13.217176, 79.1003289",2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,0,0,0,2-2-349 K.V. Layout,Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
106,"13.6390013, 79.4272041","18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,0,0,0,"18-2-246 , Road No-1 Abbanna Colony Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
107,"13.6287557, 79.4191795","18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,0,0,0,"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
108,"13.6361446, 79.4204532","10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,0,0,0,"10-13-486, Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
109,"13.6287557, 79.4191795",10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,0,0,0,10 - 3 - 206 Kotakommala Street Tirupati,Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
110,"13.6338436, 79.4210045",": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,0,0,0,"#: 410, Tilak Road Tilak Road Tirupati",Andhra Pradesh,Chittoor,0,517501,"0877    22454333, 2252466,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
111,,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupathi",Purna's Remedy Hospital - Tirupathi,0,0,0,"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupati",Andhra Pradesh,Chittoor,0,517501,3253250,0,0,0,0,0,0,0,3253250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
112,"13.6244611, 79.4310052","10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),0,0,0,"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,0,517501,"0877    2220487, 2227385, 2224725",0,0,0,0,0,0,0,22257645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
113,"13.6361446, 79.4204532","535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,0,0,0,"535, Reddy and Reddy Colony , Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
114,,"16-2-156, Sairam Street, Tirupathi, Chitoor Dst., Andhrapradesh",Ramadevi Multi Super Speciality Hospital,0,0,0,"16-2-156, Sairam Street, Tirupathi",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
115,"13.6365271, 79.4127143","-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,0,0,0,"-4-566, Nehru Nagar, Tirupathi, Chittoor",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
116,"13.6287557, 79.4191795","576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,0,0,0,"# 576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Andhra Pradesh,Chittoor,0,517501,2222369,0,0,0,0,0,0,0,2222369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
117,"13.6361446, 79.4204532","548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,0,0,0,"548, Reddy and Reddy Colony,Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
118,"13.6368739, 79.4144319","101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,0,0,0,"101, Sarojinideavi Road, Tirupati",Andhra Pradesh,Chittoor,0,517501,2286522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
119,"13.6157076, 79.4125828","D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,0,0,0,"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
120,"13.6361446, 79.4204532","10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,0,0,0,"10-13-496, , Reddy and Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
121,"23.0866456, 72.5630236","6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,0,0,0,"6-1-46, R.S.Gardens Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
122,"13.6388217, 79.4204627",T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,0,0,0,T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati,Andhra Pradesh,Chittoor,0,517501,"0877    2287437, 2287156,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
123,,"6-2-105, Old Maternity Road, Beside Rajanna Park",Sri Sai Ortho Care,0,0,0,"6-2-105, Old Maternity Road, Beside Rajanna Park",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
124,"13.6361446, 79.4204532","521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,0,0,0,"521, Reddy and Reddy Colony, Chittor, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
125,"13.217176, 79.1003289",Tirupathi,Sri Suraksha Hospital,0,0,0,Tirupati,Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
126,"13.217176, 79.1003289","No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,0,0,0,No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple,Andhra Pradesh,Chittoor,0,517501,2253322,0,0,0,0,0,0,0,2253322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
127,"13.6287557, 79.4191795",Tirupati,Sri Venkateshwara Institute Of Medical Sciences,0,0,0,Tirupati,Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
128,"26.896961, 75.792554","No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,0,0,0,"No. 20-03-88G, Siva Jyothi Nagar",Andhra Pradesh,Chittoor,0,517501,0877 2281111,0,0,0,0,0,0,0,8772281111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
129,,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Sri Vignesh Hospital,0,0,0,"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
130,"13.6287557, 79.4191795","216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,0,0,0,"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
131,"13.6361446, 79.4204532","515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,0,0,0,"515,Reddy Reddy Colony, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
132,"13.6095995, 79.4489169","326,Nethaji Road,Tirupathi",Sviss Hospital,0,0,0,"326,Nethaji Road,Tirupati",Andhra Pradesh,Chittoor,0,517501,6668633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
133,"13.6287557, 79.4191795","6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,0,0,0,"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Andhra Pradesh,Chittoor,0,517501,2286602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
134,,"Opp Bhavani Nagar Circle, Maternity Road",Swarnamrutha Hospital,0,0,0,"Opp Bhavani Nagar Circle, Maternity Road",Andhra Pradesh,Chittoor,0,517501,0877  2286602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
135,,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar, 2Nd Street",Swetha Childrens Hospital,0,0,0,"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar , 2Nd Street",Andhra Pradesh,Chittoor,0,517501,2222228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
136,"13.6361446, 79.4204532","525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,0,0,0,"525,Reddy  and Reddy Colony,Tirupathi",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
137,,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati. []",Vaishnavi Children Hospital,0,0,0,"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
138,,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Vasan Healthcare Pvt Ltd,0,0,0,"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Andhra Pradesh,Chittoor,0,517501,0877  2220552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
139,"13.6358027, 79.420805","10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,0,0,0,"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati",Andhra Pradesh,Chittoor,0,517501,0877    2258183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
140,"13.639101, 79.4177213","6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,0,0,0,"6-2-88, Old Maternity Hospital Road, Tirupati",Andhra Pradesh,Chittoor,0,517501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
141,"13.6335087, 79.4170539","D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,0,0,0,"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony",Andhra Pradesh,Chittoor,0,517502,0877  2251000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
142,"13.217176, 79.1003289",13-7-936/6 Tuda Road,Maha Hospitals,0,0,0,13-7-936/6 Tuda Road,Andhra Pradesh,Chittoor,0,517502,0877  2266601,0,0,0,0,0,0,0,226660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,554
